timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffPct,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,position,date,name,team,opponent,birthdate,id,aged,pim,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,shutout
1002,0,0,1,0,0,0,0,60.0,9,15,1,0,0,0,0,-1,690,87,225,C,2023-10-10,Anthony Cirelli,TBL,NSH,1997-07-15,ID8478519,9583,0,0,0,0,0,0,0,0,,,,,,0
774,1,1,3,2,0,0,0,40.0,6,15,0,0,0,0,3,1,612,18,144,C,2023-10-10,Jason Dickinson,CHI,PIT,1995-07-04,ID8477450,10325,0,0,0,0,0,0,0,0,,,,,,0
1078,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,-1,971,18,89,D,2023-10-10,Connor Murphy,CHI,PIT,1993-03-26,ID8476473,11155,0,0,0,0,0,0,0,0,,,,,,0
1244,0,0,2,1,0,0,0,,0,0,1,1,0,0,0,0,945,299,0,LW,2023-10-10,Taylor Hall,CHI,PIT,1991-11-14,ID8475791,11653,0,0,0,0,0,0,0,0,,,,,,0
555,0,1,2,0,0,0,0,54.55,6,11,0,0,0,0,0,0,531,4,20,C,2023-10-10,Cole Guttman,CHI,PIT,1999-04-06,ID8480252,8953,0,0,0,0,0,0,0,0,,,,,,0
725,0,0,2,0,0,0,0,0.0,0,1,0,0,0,0,0,1,627,20,78,LW,2023-10-10,Boris Katchouk,CHI,PIT,1998-06-18,ID8479383,9245,0,0,0,0,0,0,0,0,,,,,,0
1159,0,0,1,0,0,0,0,,0,0,2,0,0,0,2,0,976,183,0,D,2023-10-10,Kevin Korchinski,CHI,PIT,2004-06-21,ID8483466,7050,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Reese Johnson,CHI,PIT,1998-07-10,ID8481147,9223,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,MacKenzie Entwistle,CHI,PIT,1999-07-14,ID8480025,8854,0,0,0,0,0,0,0,0,,,,,,0
952,0,0,1,2,0,0,0,,0,0,2,0,0,0,2,0,734,143,75,RW,2023-10-10,Taylor Raddysh,CHI,PIT,1998-02-18,ID8479390,9365,0,0,0,0,0,0,0,0,,,,,,0
885,0,0,2,0,0,0,0,20.0,1,5,1,1,0,0,0,-1,726,159,0,LW,2023-10-10,Lukas Reichel,CHI,PIT,2002-05-17,ID8482117,7816,0,0,0,0,0,0,0,0,,,,,,0
1232,1,0,2,0,0,0,0,,0,0,0,0,0,0,1,2,1076,0,156,D,2023-10-10,Alex Vlasic,CHI,PIT,2001-06-05,ID8481568,8162,0,0,0,0,0,0,0,0,,,,,,0
982,0,0,1,0,0,0,0,,0,0,1,0,0,0,1,-1,712,263,7,D,2023-10-10,Justin Schultz,SEA,VGK,1990-07-06,ID8474602,12149,0,0,0,0,0,0,0,0,,,,,,0
1073,0,0,1,0,0,0,2,80.0,4,5,0,0,0,0,0,-2,714,359,0,C,2023-10-10,Jaden Schwartz,SEA,VGK,1992-06-25,ID8475768,11429,0,0,0,0,0,0,0,0,,,,,,0
919,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,-1,704,13,202,D,2023-10-10,Brian Dumoulin,SEA,VGK,1991-09-06,ID8475208,11722,0,0,0,0,0,0,0,0,,,,,,0
980,0,0,3,0,0,0,0,50.0,5,10,0,1,0,0,1,0,750,30,200,C,2023-10-10,Yanni Gourde,SEA,VGK,1991-12-15,ID8476826,11622,0,0,0,0,0,0,0,0,,,,,,0
1184,0,0,2,1,0,0,2,,0,0,1,0,0,0,1,-1,940,30,214,D,2023-10-10,Adam Larsson,SEA,VGK,1992-11-12,ID8476457,11289,0,0,0,0,0,0,0,0,,,,,,0
3577,0,0,27,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,G,2023-10-10,Philipp Grubauer,SEA,VGK,1991-11-25,ID8475831,11642,0,24,3,0,21,0,24,3,L,88.88888888888889,100.0,,87.5,0
1119,0,0,2,1,0,0,2,38.46,5,13,1,0,0,0,1,-1,886,33,200,C,2023-10-10,Alex Wennberg,SEA,VGK,1994-09-22,ID8477505,10610,0,0,0,0,0,0,0,0,,,,,,0
1338,0,0,2,0,0,0,0,,0,0,0,0,0,0,1,-2,955,372,11,D,2023-10-10,Vince Dunn,SEA,VGK,1996-10-29,ID8478407,9842,0,0,0,0,0,0,0,0,,,,,,0
872,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,417,334,121,RW,2023-10-10,Kailer Yamamoto,SEA,VGK,1998-09-29,ID8479977,9142,0,0,0,0,0,0,0,0,,,,,,0
984,0,1,5,0,0,0,2,0.0,0,1,0,0,0,0,0,-2,603,299,82,LW,2023-10-10,Jared McCann,SEA,VGK,1996-05-31,ID8477955,9993,0,0,0,0,0,0,0,0,,,,,,0
1042,0,0,4,1,0,0,0,,0,0,0,0,0,0,0,0,685,357,0,RW,2023-10-10,Oliver Bjorkstrand,SEA,VGK,1995-04-10,ID8477416,10410,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Tye Kartye,SEA,VGK,2001-04-30,ID8481789,8198,0,0,0,0,0,0,0,0,,,,,,0
1007,0,0,2,3,0,0,0,,0,0,0,0,0,0,0,0,808,0,199,D,2023-10-10,Will Borgen,SEA,VGK,1996-12-19,ID8478840,9791,0,0,0,0,0,0,0,0,,,,,,0
1009,0,0,1,0,0,0,0,0.0,0,1,0,1,0,0,0,0,662,347,0,RW,2023-10-10,Eeli Tolvanen,SEA,VGK,1999-04-22,ID8480009,8937,0,0,0,0,0,0,0,0,,,,,,0
450,0,0,0,1,0,0,0,60.0,3,5,1,0,0,0,3,-1,264,0,186,LW,2023-10-10,Pierre-Edouard Bellemare,SEA,VGK,1985-03-06,ID8477930,14097,0,0,0,0,0,0,0,0,,,,,,0
898,1,0,3,2,0,0,0,0.0,0,1,0,1,0,0,0,-1,616,278,4,RW,2023-10-10,Jordan Eberle,SEA,VGK,1990-05-15,ID8474586,12201,0,0,0,0,0,0,0,0,,,,,,0
1113,0,0,1,4,0,0,0,,0,0,0,0,0,0,6,0,785,0,328,D,2023-10-10,Jamie Oleksiak,SEA,VGK,1992-12-21,ID8476467,11250,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Jaycob Megna,SEA,VGK,1992-12-10,ID8477034,11261,0,0,0,0,0,0,0,0,,,,,,0
1528,1,0,2,0,0,0,0,,0,0,0,0,0,0,2,3,1077,297,154,D,2023-10-10,Seth Jones,CHI,PIT,1994-10-03,ID8477495,10599,0,0,0,0,0,0,0,0,,,,,,0
979,0,0,2,0,0,0,0,23.08,3,13,1,0,0,0,0,-1,691,275,13,C,2023-10-10,Matty Beniers,SEA,VGK,2002-11-05,ID8482665,7644,0,0,0,0,0,0,0,0,,,,,,0
983,0,0,3,0,0,0,0,20.0,1,5,0,0,0,0,1,-1,779,182,22,C,2023-10-10,Tyler Johnson,CHI,PIT,1990-07-29,ID8474870,12126,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Nikita Zaitsev,CHI,PIT,1991-10-29,ID8479458,11669,0,0,0,0,0,0,0,0,,,,,,0
772,0,0,1,2,0,0,0,,0,0,2,1,0,0,0,0,472,0,300,LW,2023-10-10,Cole Smith,NSH,TBL,1995-10-28,ID8482062,10209,0,0,0,0,0,0,0,0,,,,,,0
834,0,0,1,3,0,0,0,,0,0,3,0,0,0,0,0,651,0,183,C,2023-10-10,Yakov Trenin,NSH,TBL,1997-01-13,ID8478508,9766,0,0,0,0,0,0,0,0,,,,,,0
893,1,0,2,1,0,1,0,,0,0,0,0,0,0,0,0,715,111,67,C,2023-10-10,Gustav Nyquist,NSH,TBL,1989-09-01,ID8474679,12457,0,0,0,0,0,0,0,0,,,,,,0
885,0,0,3,2,0,0,2,61.54,8,13,0,0,0,0,1,-1,627,39,219,C,2023-10-10,Colton Sissons,NSH,TBL,1993-11-05,ID8476925,10931,0,0,0,0,0,0,0,0,,,,,,0
943,0,1,3,0,1,0,0,0.0,0,4,2,1,0,0,0,-1,763,180,0,C,2023-10-10,Tommy Novak,NSH,TBL,1997-04-28,ID8478438,9661,0,0,0,0,0,0,0,0,,,,,,0
1251,2,0,6,1,0,0,0,,0,0,0,0,0,0,0,0,909,342,0,LW,2023-10-10,Filip Forsberg,NSH,TBL,1994-08-13,ID8476887,10650,0,0,0,0,0,0,0,0,,,,,,0
1537,0,0,2,0,0,0,4,,0,0,0,0,0,0,1,-2,1126,367,44,D,2023-10-10,Roman Josi,NSH,TBL,1990-06-01,ID8474600,12184,0,0,0,0,0,0,0,0,,,,,,0
911,0,0,0,4,0,0,0,,0,0,0,1,0,0,1,0,787,0,124,D,2023-10-10,Luke Schenn,NSH,TBL,1989-11-02,ID8474568,12395,0,0,0,0,0,0,0,0,,,,,,0
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,N/A,2023-10-10,Samuel Fagemo,NSH,TBL,2000-03-14,ID8481239,8610,0,0,0,0,0,0,0,0,,,,,,0
1239,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,850,43,346,D,2023-10-10,Alexandre Carrier,NSH,TBL,1996-10-08,ID8478851,9863,0,0,0,0,0,0,0,0,,,,,,0
