,Name,Position,2021GP,2021FP,2021NP,2021TOI,2122GP,2122FP,2122NP,2122TOI,2223GP,2223FP,2223NP,2223TOI,2021BS,2122BS,2223BS,2021H,2122H,2223H,2021S,2122S,2223S,2223NP_60,2122NP_60,2021NP_60,2223NP_GP,2122NP_GP,2021NP_GP,2223FPP60,2122FPP60,2021FPP60,2223FPPG,2122FPPG,2021FPPG,2223NP%,2122NP%,2021NP%,TOT_GAMES,TOT_NP_60,TOT_NP_GP,TOT_FPP60,TOT_FPPG,TOT_NP%,LAST2_GAMES,LAST2_NP_60,LAST2_NP_GP,LAST2_FPP60,LAST2_FPPG,LAST2_NP%
0,Yakov Trenin,C,45,42.099999999999994,26.1,520.3,80,90.20000000000002,49.2,1173.4,77,83.7,45.7,1166.3,21.0,33.0,30.0,94.0,191.0,167.0,62.0,136.0,140.0,2.35,2.52,3.01,0.59,0.62,0.58,4.31,4.61,4.85,1.09,1.13,0.94,54.6,54.55,62.0,202,2.54,0.6,4.53,1.07,56.02,157,2.43,0.6,4.46,1.11,54.57
1,Tomas Hertl,C,50,102.10000000000001,34.6,956.78,82,162.0,59.5,1634.88,79,151.89999999999995,55.900000000000006,1523.22,39.0,57.0,57.0,39.0,105.0,91.0,112.0,205.0,183.0,2.2,2.18,2.17,0.71,0.73,0.69,5.98,5.95,6.4,1.92,1.98,2.04,36.8,36.73,33.89,211,2.19,0.71,6.07,1.97,36.06,161,2.19,0.72,5.96,1.95,36.76
2,Oskar Lindblom,LW,50,44.1,22.1,659.08,79,83.49999999999997,45.0,1090.27,73,47.400000000000006,25.9,771.9,24.0,48.0,24.0,43.0,83.0,64.0,58.0,127.0,75.0,2.01,2.48,2.01,0.35,0.57,0.44,3.68,4.6,4.01,0.65,1.06,0.88,54.64,53.89,50.11,202,2.21,0.46,4.16,0.87,53.14,152,2.28,0.47,4.22,0.86,54.16
3,Luke Kunin,C,38,54.49999999999999,25.5,531.67,82,96.30000000000001,60.300000000000004,1134.03,31,45.60000000000001,25.6,478.38,20.0,51.0,27.0,84.0,223.0,63.0,71.0,125.0,58.0,3.21,3.19,2.88,0.83,0.74,0.67,5.72,5.1,6.15,1.47,1.17,1.43,56.14,62.62,46.79,151,3.12,0.74,5.5,1.3,56.72,113,3.2,0.76,5.28,1.26,60.54
4,Matt Nieto,LW,28,28.500000000000004,16.5,391.93,70,64.3,41.3,1008.25,81,68.3,31.8,1095.5,19.0,47.0,32.0,25.0,96.0,43.0,45.0,82.0,115.0,1.74,2.46,2.53,0.39,0.59,0.59,3.74,3.83,4.36,0.84,0.92,1.02,46.56,64.23,57.89,179,2.15,0.5,3.87,0.9,55.62,151,2.08,0.48,3.78,0.88,55.13
5,Erik Karlsson,D,52,82.0,47.5,1226.82,50,86.00000000000001,36.0,1173.52,82,208.70000000000002,69.2,2100.43,69.0,45.0,90.0,20.0,18.0,33.0,110.0,117.0,209.0,1.98,1.84,2.32,0.84,0.72,0.91,5.96,4.4,4.01,2.55,1.72,1.58,33.16,41.86,57.93,184,2.04,0.83,5.02,2.05,40.54,132,1.93,0.8,5.4,2.23,35.7
6,Marc-Edouard Vlasic,D,51,46.7,39.7,892.98,75,73.7,56.7,1141.15,78,88.2,69.2,1362.7,64.0,90.0,116.0,40.0,54.0,45.0,37.0,63.0,67.0,3.05,2.98,2.67,0.89,0.76,0.78,3.88,3.88,3.14,1.13,0.98,0.92,78.46,76.93,85.01,204,2.93,0.81,3.68,1.02,79.39,153,3.02,0.82,3.88,1.06,77.76
7,Radim Simek,D,40,42.7,34.7,568.48,36,34.6,31.6,478.13,44,53.800000000000004,49.8,643.43,49.0,39.0,74.0,76.0,96.0,89.0,26.0,25.0,39.0,4.64,3.97,3.66,1.13,0.88,0.87,5.02,4.34,4.51,1.22,0.96,1.07,92.57,91.33,81.26,120,4.12,0.97,4.65,1.09,88.56,80,4.35,1.02,4.73,1.1,92.08
8,Nico Sturm,C,50,52.2,24.200000000000003,542.28,74,64.5,34.5,880.92,74,84.89999999999999,44.400000000000006,1090.03,26.0,29.0,45.0,48.0,99.0,100.0,64.0,101.0,119.0,2.44,2.35,2.68,0.6,0.47,0.48,4.67,4.39,5.78,1.15,0.87,1.04,52.3,53.49,46.36,198,2.46,0.52,4.81,1.02,51.14,148,2.4,0.53,4.55,1.01,52.81
9,Jonah Gadjovich,LW,1,0.1,0.1,4.92,43,25.000000000000004,21.0,376.5,35,24.900000000000002,14.9,314.7,0.0,14.0,5.0,1.0,104.0,92.0,0.0,36.0,32.0,2.84,3.35,1.22,0.43,0.49,0.1,4.75,3.98,1.22,0.71,0.58,0.1,59.84,84.0,100.0,79,3.1,0.46,4.31,0.63,72.0,78,3.12,0.46,4.33,0.64,71.94
10,Kevin Labanc,RW,55,68.0,26.5,903.25,21,21.9,10.9,279.12,72,83.4,33.900000000000006,1031.48,15.0,9.0,28.0,61.0,28.0,70.0,129.0,36.0,129.0,1.97,2.34,1.76,0.47,0.52,0.48,4.85,4.71,4.52,1.16,1.04,1.24,40.65,49.77,38.97,148,1.93,0.48,4.7,1.17,41.14,93,2.05,0.48,4.82,1.13,42.55
11,Mario Ferraro,D,56,89.3,69.3,1255.83,63,110.40000000000002,94.4,1449.05,72,107.5,92.0,1555.43,96.0,151.0,145.0,155.0,140.0,129.0,58.0,49.0,66.0,3.55,3.91,3.31,1.28,1.5,1.24,4.15,4.57,4.27,1.49,1.75,1.59,85.58,85.51,77.6,191,3.6,1.34,4.33,1.61,83.24,135,3.72,1.38,4.35,1.61,85.54
12,Timo Meier,RW,54,83.0,35.0,867.28,77,199.29999999999998,79.30000000000001,1475.02,78,184.1,66.6,1512.28,24.0,61.0,37.0,75.0,162.0,154.0,155.0,326.0,327.0,2.64,3.23,2.42,0.85,1.03,0.65,7.3,8.11,5.74,2.36,2.59,1.54,36.18,39.79,42.17,209,2.82,0.87,7.26,2.23,38.79,155,2.93,0.94,7.7,2.47,38.05
13,Logan Couture,C,53,88.19999999999999,36.7,1020.83,77,147.09999999999994,58.1,1457.82,82,172.09999999999997,67.6,1568.78,39.0,58.0,70.0,58.0,92.0,128.0,114.0,199.0,198.0,2.59,2.39,2.16,0.82,0.75,0.69,6.58,6.05,5.18,2.1,1.91,1.66,39.28,39.5,41.61,212,2.41,0.77,6.04,1.92,39.86,159,2.49,0.79,6.33,2.01,39.38
14,Matt Benning,D,53,41.800000000000004,36.3,865.4,65,58.800000000000004,47.8,1061.92,77,104.49999999999997,78.5,1522.95,53.0,67.0,125.0,55.0,82.0,102.0,43.0,61.0,58.0,3.09,2.7,2.52,1.02,0.74,0.68,4.12,3.32,2.9,1.36,0.9,0.79,75.12,81.29,86.84,195,2.83,0.83,3.57,1.05,79.28,142,2.93,0.89,3.79,1.15,77.34
