,name,position,gp,std,mean,coeffvar,variance,outliers
0,Yakov Trenin,C,202,0.9760049113180224,1.0693069306930694,0.9127453337325949,0.9525855869169008,"[3.2, 3.0, 3.6, 3.3, 3.9, 3.4, 2.9, 3.2, 4.2, 3.1, 3.5, 3.0, 3.6, 4.9, 3.5]"
1,Tomas Hertl,C,211,1.5935127173671204,1.971563981042654,0.8082480369338039,2.539282780410744,"[7.0, 7.1, 7.3, 6.2, 6.1, 6.4]"
2,Oskar Lindblom,LW,202,0.9372636394820186,0.8663366336633663,1.0818700295735302,0.8784631298950795,"[2.8, 3.2, 3.4, 2.8, 4.2, 2.9, 4.0, 2.8, 4.9, 3.0]"
3,Luke Kunin,C,151,1.2453913274545059,1.300662251655629,0.9575055521671609,1.5509995584988963,"[5.2, 4.6, 5.5, 4.1, 5.9, 4.3, 5.3]"
4,Matt Nieto,LW,179,0.897123994035472,0.9,0.9968044378171912,0.8048314606741578,"[3.2, 6.0]"
6,Erik Karlsson,D,184,1.5848646169695764,2.0472826086956526,0.7741308455598672,2.5117958541221217,"[5.8, 8.1, 6.1, 5.8, 6.4, 5.8, 6.7, 6.2]"
7,Marc-Edouard Vlasic,D,204,0.7660797605704547,1.022549019607843,0.749186343031509,0.5868781995556851,"[3.8, 3.0, 3.3, 3.8, 3.2, 3.3]"
8,Radim Simek,D,120,0.7819564453043029,1.0925,0.7157496066858607,0.6114558823529411,"[3.6, 3.1, 3.2]"
9,Nico Sturm,C,198,0.9663226265337017,1.0181818181818183,0.9490668653455998,0.9337794185509919,"[3.3, 3.5, 3.1, 4.3, 4.9, 3.7, 3.5]"
10,Jonah Gadjovich,LW,79,0.5984427481532942,0.6329113924050632,0.945539542082205,0.3581337228172672,"[2.5, 1.3, 2.7, 1.4, 1.9, 2.7, 1.3, 1.3, 1.5, 1.4, 2.5, 1.3]"
11,Kevin Labanc,RW,148,1.1479205321269805,1.170945945945946,0.9803360574425454,1.3177215480786904,[4.8]
12,Mario Ferraro,D,191,1.0464139184518133,1.6083769633507852,0.6506024037249231,1.0949820887296784,"[4.8, 6.2, 4.6, 5.2, 5.2]"
13,Timo Meier,RW,209,1.8333601703347981,2.231578947368421,0.8215529065179521,3.36120951417004,"[7.6, 6.7, 12.1, 7.5, 7.1]"
14,Logan Couture,C,212,1.4703711829131596,1.921698113207547,0.7651416072105789,2.1619914155414444,"[6.2, 8.1, 6.5, 6.3]"
15,Matt Benning,D,195,0.8518835159315119,1.0517948717948715,0.8099331331382003,0.7257055247158345,"[3.5, 3.4, 3.4]"
16,Scott Harrington,D,64,1.124506064407342,1.334375,0.842721172389577,1.2645138888888892,"[3.6, 3.4, 3.5, 6.3, 4.2]"
17,Nick Bonino,C,197,1.2121206651094834,1.346700507614213,0.9000669846459415,1.469236506785456,"[4.3, 5.7, 4.7, 4.3, 7.3]"
18,Noah Gregor,C,150,1.10941889781441,1.2113333333333332,0.9158659035341855,1.23081029082774,"[3.8, 6.8, 3.5, 3.7, 3.5, 5.1, 3.7]"
19,Steven Lorentz,C,192,0.8450012133783121,0.7645833333333334,1.10517869869643,0.7140270506108197,"[2.4, 3.0, 2.3, 2.7, 3.3, 2.9, 2.9, 2.3, 3.4, 3.8, 2.7, 2.5, 4.2, 2.3, 2.3, 2.4, 2.3, 3.0]"
20,Cole Smith,LW,78,0.7304893692687928,0.8166666666666667,0.894476778696481,0.5336147186147188,"[2.5, 2.6, 2.6, 3.2, 3.0]"
21,Cody Glass,C,107,1.13999600923672,1.105607476635514,1.0311037446181661,1.2995909010756481,"[4.3, 4.8]"
22,Ryan Johansen,C,182,1.395560060238013,1.4120879120879122,0.9882954512191375,1.9475878817315264,"[6.0, 8.2]"
23,Mark Borowiecki,D,83,0.7451261955609907,1.149397590361446,0.6482754112323084,0.5552130473111957,[]
24,Tanner Jeannot,LW,172,1.2227671318465878,1.5261627906976745,0.801203606390907,1.4951594587243309,"[5.0, 5.7, 5.4, 5.0, 5.7]"
25,Kiefer Sherwood,LW,59,1.0467673094422134,1.0745762711864406,0.9741209977459084,1.0957218001168907,"[3.2, 3.4, 3.0, 5.9]"
27,Matt Duchene,C,183,1.6798665424111092,1.8535519125683062,0.9062959235295783,2.821951600312255,"[7.8, 7.2, 6.6]"
28,Eeli Tolvanen,RW,176,1.2015439202158993,1.4329545454545454,0.8385080490007862,1.4437077922077912,"[6.1, 5.4]"
29,Ryan McDonagh,D,192,1.098368490024107,1.6411458333333335,0.6692692798623565,1.206413339877837,"[4.4, 4.8, 5.7, 4.4, 4.6]"
30,Alexandre Carrier,D,139,0.9500923243966812,1.4122302158273383,0.6727602297052403,0.9026754248774885,[]
31,Roman Josi,D,195,1.7983000754913037,2.7666666666666666,0.6499879790932424,3.2338831615120287,"[8.5, 7.8, 7.9, 8.9]"
32,Nino Niederreiter,RW,209,1.2502222842476631,1.4799043062200954,0.8447994096597532,1.5630557600294448,[5.8]
33,Mikael Granlund,C,210,1.2715829572362722,1.5038095238095235,0.8455744807460963,1.6169232171337435,"[4.8, 6.6, 6.2]"
34,Filip Forsberg,LW,158,1.8677991615732876,2.368354430379747,0.7886484968695334,3.4886737079738763,"[7.8, 8.9, 9.5, 8.3]"
35,Colton Sissons,C,215,0.9401713624803094,1.1246511627906977,0.8359670923625581,0.8839221908280813,"[3.7, 3.6, 3.3, 3.8, 3.6, 4.9, 3.3, 3.4]"
36,Mattias Ekholm,D,202,1.1349428037243674,1.4594059405940594,0.7776745127283657,1.2880951677257277,"[4.3, 4.9, 5.7, 4.2, 5.6, 5.5, 4.9]"
37,Dante Fabbro,D,185,0.9446857982124538,1.3362162162162161,0.7069857308628801,0.892431257344301,"[3.8, 4.0, 4.4, 4.4, 3.7]"
38,Jeremy Lauzon,D,174,0.8070665327467424,1.1879310344827585,0.6793883729943551,0.6513563882798488,"[3.5, 3.1, 3.2, 3.6, 3.3, 3.4, 3.5]"
41,Jaycob Megna,D,98,0.8587834079213559,1.304081632653061,0.6585350076392245,0.737508941721018,[4.1]
42,Evgeny Svechnikov,LW,152,0.9031334631620211,0.8105263157894737,1.1142555714336626,0.8156500522830259,"[3.5, 2.6, 3.4, 3.1, 2.9, 3.0, 3.8, 3.6, 2.6, 4.4, 2.9, 2.7]"
43,Nicholas Paul,LW,133,1.4050303468926295,1.3270676691729324,1.0587480800947293,1.9741102756892228,"[3.7, 5.0, 4.2, 5.7, 4.5, 5.7, 4.4, 5.1, 3.7, 4.0, 4.5, 4.0, 6.2, 3.9]"
45,Erik Cernak,D,171,1.0426923948799847,1.394736842105263,0.7475907736875362,1.0872074303405577,"[3.9, 4.8, 4.3, 4.0, 6.1]"
46,Corey Perry,RW,212,1.1305251221335222,1.0580188679245284,1.068530209060663,1.2780870517750154,"[3.7, 3.6, 3.5, 4.8, 3.6, 5.7, 4.2, 3.5, 4.0, 4.4, 4.9]"
47,Alex Killorn,C,220,1.3435900898701745,1.5459090909090911,0.8691261975049642,1.8052343295973434,"[6.4, 6.9]"
48,Nikita Kucherov,RW,129,1.8438133118810507,2.686046511627907,0.6864413195747635,3.3996475290697687,"[8.0, 6.9, 7.8, 7.2, 9.3]"
49,Victor Hedman,D,212,1.546134842697053,2.374528301886793,0.6511334657365417,2.3905329518018403,"[6.5, 7.0, 6.5]"
