,name,position,gp,std,mean,coeffvar,variance,outliers
0,Yakov Trenin,C,157,1.0240406017387553,1.107643312101911,0.9245219923690889,1.0486591540094723,"[3.6, 3.9, 4.2, 3.5, 3.6, 4.9]"
1,Tomas Hertl,C,161,1.5924087188753742,1.9496894409937886,0.816749932268032,2.5357655279503106,"[7.0, 7.1, 7.3, 6.2]"
2,Oskar Lindblom,LW,152,0.8813783111871772,0.8611842105263158,1.0234492230744916,0.7768277274311607,"[2.8, 3.2, 3.4, 2.8, 4.2, 2.9]"
3,Luke Kunin,C,113,1.2459891404234213,1.2557522123893803,0.9922253197170305,1.5524889380530966,"[5.2, 4.6, 5.5, 4.1, 5.9, 3.9]"
4,Matt Nieto,LW,151,0.8998439894215073,0.8781456953642381,1.024709218722833,0.8097192052980138,"[3.2, 6.0]"
6,Erik Karlsson,D,132,1.6734795406107998,2.232575757575758,0.749573462370633,2.8005337728429334,"[8.1, 6.4, 6.7]"
7,Marc-Edouard Vlasic,D,153,0.795266785680074,1.0581699346405227,0.7515492168564012,0.6324492604059169,"[3.8, 3.3, 3.8, 3.2, 3.3]"
8,Radim Simek,D,80,0.7727806114400915,1.105,0.699348969629042,0.5971898734177216,[3.6]
9,Nico Sturm,C,148,0.9090877417250818,1.0094594594594593,0.9005688472243114,0.826440522154809,"[3.3, 3.5, 3.1, 4.3]"
10,Jonah Gadjovich,LW,78,0.5992072129483123,0.6397435897435896,0.9366365252498671,0.359049284049284,"[2.5, 1.3, 2.7, 1.4, 1.9, 2.7, 1.3, 1.3, 1.5, 1.4, 2.5, 1.3]"
11,Kevin Labanc,RW,93,1.1162983560121118,1.132258064516129,0.9859045309508679,1.2461220196353435,"[4.2, 4.5]"
12,Mario Ferraro,D,135,1.0239055287405756,1.6140740740740742,0.634360928774565,1.0483825317855178,"[4.8, 6.2, 4.0, 4.6]"
13,Timo Meier,RW,155,1.9070640186802288,2.473548387096774,0.7709831061435459,3.636893171344784,"[7.6, 12.1, 7.5, 7.1]"
14,Logan Couture,C,159,1.5008667187898639,2.0075471698113203,0.7476121813520941,2.2526009075710527,"[6.2, 8.1, 6.5]"
15,Matt Benning,D,142,0.8952791870109763,1.15,0.7785036408791098,0.8015248226950347,"[3.5, 3.4]"
16,Scott Harrington,D,52,1.1359609323471491,1.330769230769231,0.8536122613013258,1.290407239819004,"[3.6, 3.4, 3.5, 6.3]"
17,Nick Bonino,C,142,1.1139172353599904,1.3669014084507043,0.8149214189650625,1.2408116072320445,"[4.3, 5.7]"
18,Noah Gregor,C,120,1.1373635911067972,1.2541666666666667,0.9068679796200376,1.2935959383753497,"[3.8, 6.8, 3.5, 3.7, 3.4, 3.5, 5.1]"
19,Steven Lorentz,C,147,0.8950682341525822,0.8170068027210884,1.0955456321434605,0.8011471437890217,"[3.0, 2.7, 3.3, 2.9, 2.9, 3.4, 3.8, 2.7, 2.5, 4.2]"
20,Cole Smith,LW,77,0.7306094423227841,0.825974025974026,0.8845428782838738,0.5337901572112097,"[2.6, 2.6, 3.2, 3.0]"
21,Cody Glass,C,80,1.1271779199803105,1.16875,0.9644303058655064,1.2705300632911394,"[4.3, 4.8]"
22,Ryan Johansen,C,134,1.4636417671458914,1.5335820895522387,0.9543941450002407,2.142247222533948,"[6.0, 8.2]"
23,Mark Borowiecki,D,61,0.7293608250480377,1.126229508196721,0.6476129596496406,0.5319672131147543,[]
24,Tanner Jeannot,LW,157,1.198814673988701,1.518471337579618,0.7894878515781293,1.4371566225706354,"[5.0, 5.7, 4.4, 5.4, 4.4, 5.0]"
25,Kiefer Sherwood,LW,43,1.151189860639024,1.2,0.9593248838658535,1.3252380952380955,"[3.2, 3.4, 3.0, 5.9]"
27,Matt Duchene,C,149,1.7205127600358092,2.036241610738255,0.8449452908547646,2.9601641574460382,"[7.8, 7.2]"
28,Eeli Tolvanen,RW,136,1.1474550318460992,1.4036764705882354,0.817464035259662,1.3166530501089326,[6.1]
29,Ryan McDonagh,D,142,1.1046041529126642,1.6598591549295776,0.6654806521578206,1.2201503346319045,"[4.8, 5.7]"
