name,id,team,position,timeOnIce,gamePlayed,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decisionPoints,wins,shutout,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,creaseShare,last3FPPG
Jeremy Swayman,ID8480280,BOS,G,14330,4,117,112,25,7,80,7,84,26,16,4,1,31.400000000000002,7.89,7.85,73,283.98,43.92,3.68
Semyon Varlamov,ID8473575,NYI,G,7147,2,76,73,12,3,58,3,61,12,4,1,1,15.600000000000001,7.86,7.8,74,159.15,24.78,2.32
Anthony Stolarz,ID8476932,FLA,G,3569,1,28,27,2,2,23,2,23,3,4,1,0,7.4,7.46,7.4,74,75.77,12.46,2.28
Joseph Woll,ID8479361,TOR,G,13578,4,127,122,21,3,98,3,101,23,12,3,0,29.4,7.79,7.35,74,299.76,46.97,5.41
Jonathan Quick,ID8471734,NYR,G,8752,3,57,56,1,1,54,1,55,1,8,2,1,20.2,8.31,6.73,73,182.76,26.83,1.67
Logan Thompson,ID8480313,VGK,G,14691,4,130,121,10,1,110,1,118,11,16,4,0,22.200000000000003,5.44,5.55,72,178.0,39.83,3.17
Jake Oettinger,ID8479979,DAL,G,18574,5,151,142,25,5,112,5,121,25,17,4,0,27.400000000000006,5.31,5.48,75,314.94,72.3,3.43
James Reimer,ID8473503,DET,G,10730,3,82,77,15,2,60,2,65,15,8,2,1,16.400000000000002,5.5,5.47,72,134.01,29.8,1.34
Linus Ullmark,ID8476999,BOS,G,18296,5,148,139,23,7,109,7,118,23,17,4,0,26.8,5.27,5.36,73,241.74,56.08,4.52
Jake Allen,ID8474596,MTL,G,15047,4,157,146,24,4,118,4,126,27,13,3,0,20.200000000000003,4.83,5.05,73,179.0,45.09,0.9
Thatcher Demko,ID8477967,VAN,G,16999,5,140,131,30,4,97,4,103,33,12,3,1,23.200000000000003,4.91,4.64,74,237.96,59.16,2.41
Adin Hill,ID8478499,VGK,G,22194,6,169,156,26,4,126,5,136,28,21,5,0,26.200000000000003,4.25,4.37,72,210.12,60.17,2.66
Jonas Johansson,ID8477992,TBL,G,29061,8,282,260,31,6,223,6,242,34,19,4,2,33.00000000000001,4.09,4.13,73,299.41,89.23,1.44
Lukas Dostal,ID8480843,ANA,G,16775,5,164,151,43,2,106,2,113,49,16,4,0,20.200000000000003,4.34,4.04,73,185.65,52.28,1.21
Ukko-Pekka Luukkonen,ID8480045,BUF,G,8870,3,82,75,21,1,53,2,57,23,8,2,1,12.000000000000002,4.87,4.0,73,110.48,27.7,1.38
Joel Hofer,ID8480981,STL,G,7185,2,69,63,4,2,57,2,60,7,4,1,1,7.6000000000000005,3.81,3.8,75,86.85,27.94,2.47
Alexandar Georgiev,ID8480382,COL,G,28492,8,224,205,42,9,154,9,171,44,24,6,1,30.0,3.79,3.75,74,305.77,98.33,3.02
Carter Hart,ID8479394,PHI,G,25089,7,203,187,17,10,160,10,172,21,16,4,1,24.4,3.5,3.49,73,221.88,77.45,1.64
Jordan Binnington,ID8476412,STL,G,18528,5,162,150,14,3,133,4,143,15,9,2,0,15.000000000000002,2.91,3.0,75,172.26,72.06,1.37
Ilya Sorokin,ID8478009,NYI,G,21691,6,201,183,28,5,150,5,162,34,14,3,1,17.6,2.92,2.93,74,179.53,75.22,3.58
Karel Vejmelka,ID8478872,ARI,G,17205,5,162,150,29,6,115,6,122,34,8,2,0,14.000000000000002,2.93,2.8,74,144.16,60.03,0.85
Juuse Saros,ID8477424,NSH,G,26043,8,212,194,31,6,157,6,168,38,16,4,1,21.800000000000004,3.01,2.73,74,224.95,91.56,3.07
Igor Shesterkin,ID8478048,NYR,G,23867,7,179,162,31,5,126,6,137,36,20,5,0,18.400000000000002,2.78,2.63,73,166.49,73.17,4.08
Casey DeSmith,ID8479193,VAN,G,11734,4,105,96,20,4,72,4,76,25,9,2,0,10.200000000000001,3.13,2.55,74,104.59,40.84,2.16
Alex Nedeljkovic,ID8477968,PIT,G,7182,2,70,64,8,0,56,0,61,9,4,1,0,4.800000000000001,2.41,2.4,73,43.41,22.4,1.16
Connor Ingram,ID8478971,ARI,G,11456,4,93,85,15,1,69,1,75,17,8,2,0,9.000000000000002,2.83,2.25,74,92.71,39.97,1.26
Joey Daccord,ID8478916,SEA,G,18753,5,170,155,12,1,142,1,152,17,10,2,0,11.000000000000004,2.11,2.2,72,88.51,51.02,-0.06
Frederik Andersen,ID8475883,CAR,G,15317,5,116,103,18,5,80,6,90,20,16,4,0,10.600000000000001,2.49,2.12,72,85.78,42.27,3.22
