name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG
Jack Hughes,ID8481559,NJD,C,10465,8,5,13,10,31,2,3,8461,1967,37,32.8,11.28,4.1,74,335.4,2.62
Sam Reinhart,ID8477933,FLA,C,10140,8,8,3,4,31,3,13,7113,2012,1015,30.900000000000002,10.97,3.86,74,315.64,2.18
Jesper Bratt,ID8479407,NJD,LW,9213,8,6,8,10,20,10,4,6818,1940,455,30.0,11.72,3.75,74,307.5,1.97
Frank Vatrano,ID8478366,ANA,RW,10063,9,9,1,4,31,16,15,7328,1208,1527,33.2,11.88,3.69,73,302.37,1.6
Noah Dobson,ID8480865,NYI,D,12015,8,2,7,4,21,4,25,9675,1510,830,28.0,8.39,3.5,74,287.0,2.15
Auston Matthews,ID8479318,TOR,C,10827,8,7,3,4,38,13,7,8025,1946,856,27.6,9.18,3.45,74,282.3,3.27
David Pastrnak,ID8477956,BOS,RW,10164,9,8,6,4,42,15,1,7967,2151,46,30.2,10.7,3.36,73,275.28,2.84
William Nylander,ID8477939,TOR,RW,9650,8,6,6,4,34,6,3,7470,1879,301,25.5,9.51,3.19,74,261.06,2.24
Jakob Chychrun,ID8479345,OTT,D,10934,8,4,4,3,21,3,18,9264,1421,249,24.9,8.2,3.11,74,254.14,2.07
J.T. Miller,ID8476468,VAN,C,10251,8,4,8,5,19,23,4,7030,2058,1163,24.7,8.67,3.09,74,252.66,2.62
Mikko Rantanen,ID8478420,COL,RW,10017,8,5,7,4,31,6,4,7550,2451,16,24.7,8.88,3.09,74,252.66,2.79
Artemi Panarin,ID8478550,NYR,LW,10094,9,5,10,8,33,1,0,8112,1982,0,27.4,9.77,3.04,73,248.92000000000002,2.16
Cale Makar,ID8480069,COL,D,11445,8,3,6,5,16,5,15,7697,2176,1572,24.1,7.58,3.01,74,246.73999999999998,2.79
Nikita Kucherov,ID8476453,TBL,RW,11338,9,6,5,6,38,2,6,9439,1890,9,27.0,8.57,3.0,73,246.0,2.71
Alex DeBrincat,ID8479337,DET,RW,10620,10,9,4,5,32,5,3,8745,1869,6,29.7,10.07,2.97,72,242.84,2.19
Leon Draisaitl,ID8477934,EDM,C,10764,8,4,9,6,26,4,1,8229,1980,555,23.5,7.86,2.94,74,240.56,3.09
Rasmus Dahlin,ID8480839,BUF,D,13099,9,2,7,3,22,17,20,11078,1808,213,26.4,7.26,2.93,73,239.89000000000001,2.27
Adam Fox,ID8479323,NYR,D,12278,9,3,8,9,14,4,12,9430,2009,839,26.3,7.71,2.92,73,239.16,2.32
Tyler Toffoli,ID8475726,NJD,RW,8165,8,7,3,4,30,6,1,6297,1859,9,23.1,10.18,2.89,74,236.86,1.83
Dylan Larkin,ID8477946,DET,C,11688,10,4,11,10,34,5,2,8675,1830,1183,28.900000000000002,8.9,2.89,72,236.08,2.16
Travis Konecny,ID8478439,PHI,RW,9158,9,8,3,4,31,5,2,6879,1776,503,25.599999999999998,10.06,2.84,73,232.32,1.97
John Tavares,ID8475166,TOR,C,8875,8,4,7,3,33,9,4,7015,1849,11,22.7,9.21,2.84,74,232.16,2.31
Connor McDavid,ID8478402,EDM,C,7554,6,2,7,5,15,10,2,5605,1480,469,17.0,8.1,2.83,74,226.42000000000002,3.44
Elias Pettersson,ID8480012,VAN,C,9912,8,2,11,7,15,11,3,6540,2174,1198,22.6,8.21,2.82,74,230.67999999999998,2.49
Evan Bouchard,ID8480803,EDM,D,9964,8,3,6,5,27,2,10,7850,2013,101,22.4,8.09,2.8,74,229.2,1.66
Robby Fabbri,ID8477952,DET,C,884,1,1,0,1,2,1,0,810,74,0,2.8,11.4,2.8,72,203.6,1.5
Mike Matheson,ID8476875,MTL,D,13216,9,2,4,5,25,7,23,8821,2327,2068,25.2,6.86,2.8,73,229.39999999999998,1.82
Charlie McAvoy,ID8479325,BOS,D,12893,9,2,6,3,19,17,20,9452,1945,1496,25.1,7.01,2.79,73,228.67000000000002,2.29
Alec Martinez,ID8474166,VGK,D,7022,6,1,1,1,6,4,24,6292,87,643,16.5,8.46,2.75,72,214.0,2.01
Brady Tkachuk,ID8480801,OTT,LW,8856,8,6,2,2,33,17,3,6841,1951,64,21.5,8.74,2.69,74,220.06,2.31
