name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG,PPT_per_game,QBtime
Cale Makar,ID8480069,COL,D,8740,6,3,6,5,16,5,13,5867,1434,1439,23.1,9.51,3.85,76,315.6,2.82,3.9833333333333334,03:59
Noah Dobson,ID8480865,NYI,D,7262,5,1,4,2,13,3,19,5831,993,438,18.1,8.97,3.62,77,296.74,2.13,3.31,03:18
Evan Bouchard,ID8480803,EDM,D,7558,6,2,6,5,22,0,8,5801,1656,101,18.7,8.91,3.12,76,255.12,1.66,4.6,04:36
Dougie Hamilton,ID8476462,NJD,D,6593,5,3,3,3,20,2,5,5705,770,118,15.2,8.3,3.04,77,249.08,2.14,2.566666666666667,02:34
Moritz Seider,ID8481542,DET,D,9483,7,1,6,5,6,10,18,6826,1274,1383,21.1,8.01,3.01,75,246.74999999999997,2.28,3.033333333333333,03:02
Jacob Trouba,ID8476885,NYR,D,7440,6,1,1,0,13,11,25,6362,7,1071,17.9,8.66,2.98,76,243.48,2.26,0.019444444444444445,00:01
John Carlson,ID8474590,WSH,D,7425,5,1,3,1,12,4,15,5111,1324,990,14.600000000000001,7.08,2.92,77,238.84,2.47,4.413333333333333,04:24
Jake Sanderson,ID8482105,OTT,D,8134,6,3,4,3,12,1,9,5386,1371,1377,17.3,7.66,2.88,76,235.88,1.84,3.808333333333333,03:48
Jaccob Slavin,ID8476958,CAR,D,8243,7,3,4,2,19,4,13,6689,32,1522,19.8,8.65,2.83,75,231.25,1.57,0.07619047619047618,00:04
Shayne Gostisbehere,ID8476906,DET,D,8182,7,3,6,6,15,2,6,6503,1291,388,19.7,8.67,2.81,75,229.75,1.83,3.0738095238095235,03:04
Ivan Provorov,ID8478500,CBJ,D,8613,6,0,5,3,5,4,18,6402,987,1224,16.4,6.85,2.73,76,223.48,1.85,2.7416666666666667,02:44
Alec Martinez,ID8474166,VGK,D,3255,3,1,1,1,4,2,9,2917,19,319,8.6,9.51,2.87,75,223.25,1.99,0.10555555555555556,00:06
Jakob Chychrun,ID8479345,OTT,D,7608,6,3,3,2,10,3,10,6589,952,67,16.3,7.71,2.72,76,222.72000000000003,2.02,2.6444444444444444,02:38
Rasmus Andersson,ID8478397,CGY,D,7095,5,1,2,2,13,0,14,5235,1238,622,13.3,6.75,2.66,75,212.5,1.94,4.126666666666667,04:07
Mike Matheson,ID8476875,MTL,D,9237,6,1,2,2,20,5,16,6093,1552,1592,15.5,6.04,2.58,76,211.08,1.78,4.311111111111112,04:18
Shea Theodore,ID8477447,VGK,D,9893,7,2,5,4,21,3,9,7851,1873,169,17.9,6.51,2.56,75,209.0,1.96,4.45952380952381,04:27
Rasmus Dahlin,ID8480839,BUF,D,10173,7,0,7,3,18,16,12,8615,1415,143,17.9,6.33,2.56,75,209.0,2.24,3.369047619047619,03:22
Victor Hedman,ID8475167,TBL,D,10343,7,1,6,3,17,3,12,7855,1496,992,17.5,6.09,2.5,75,204.5,2.42,3.561904761904762,03:33
Henry Thrun,ID8481567,SJS,D,2225,2,0,2,1,1,0,5,1906,265,54,5.1,8.25,2.55,76,198.79999999999998,1.27,2.2083333333333335,02:12
Alexandre Carrier,ID8478851,NSH,D,8608,7,0,2,1,9,4,26,6506,630,1472,16.8,7.03,2.4,75,196.0,1.48,1.5,01:30
Josh Morrissey,ID8477504,WPG,D,8909,6,1,5,3,16,7,7,7195,1631,83,14.3,5.78,2.38,76,194.88,2.13,4.530555555555555,04:31
Dylan DeMelo,ID8476331,WPG,D,7900,6,1,4,1,8,10,12,6294,41,1565,14.3,6.52,2.38,76,194.88,1.33,0.11388888888888889,00:06
Justin Barron,ID8482111,MTL,D,2922,3,2,0,0,4,4,5,2652,78,192,7.300000000000001,8.99,2.43,76,191.68,1.29,0.43333333333333335,00:26
Artem Zub,ID8482245,OTT,D,4309,4,1,2,0,2,8,9,3681,23,605,9.5,7.94,2.38,76,189.88,1.36,0.09583333333333334,00:05
Jake Middleton,ID8478136,MIN,D,6993,6,0,5,1,7,7,14,6129,66,798,13.9,7.16,2.32,76,189.32,1.52,0.18333333333333332,00:11
Brayden McNabb,ID8475188,VGK,D,8568,7,0,4,0,6,9,21,7492,7,1069,16.0,6.72,2.29,75,187.75,1.89,0.016666666666666666,00:01
Scott Mayfield,ID8476429,NYI,D,1007,1,0,0,0,2,2,4,960,0,47,2.4,8.58,2.4,77,186.79999999999998,1.6,0.0,00:00
Miro Heiskanen,ID8480036,DAL,D,7481,5,1,3,2,11,3,8,6145,810,526,11.4,5.49,2.28,77,186.55999999999997,1.95,2.7,02:42
Quinn Hughes,ID8480800,VAN,D,9014,6,1,5,4,20,2,5,7180,1207,627,13.7,5.47,2.28,76,186.27999999999997,1.91,3.3527777777777774,03:21
Sean Walker,ID8480336,PHI,D,7535,6,2,1,2,10,11,11,6395,195,945,13.6,6.5,2.27,76,185.52,1.33,0.5416666666666666,00:32
Adam Fox,ID8479323,NYR,D,8119,6,1,5,5,7,3,6,6471,1211,437,13.5,5.99,2.25,76,184.0,2.29,3.363888888888889,03:21
Travis Sanheim,ID8477948,PHI,D,9345,6,0,5,2,14,5,11,7201,990,1154,13.4,5.16,2.23,76,182.48,1.54,2.75,02:45
Sean Durzi,ID8480434,ARI,D,8398,6,2,2,2,16,3,9,6309,1798,291,13.4,5.74,2.23,76,182.48,1.94,4.9944444444444445,04:59
Jonas Brodin,ID8476463,MIN,D,8046,6,1,2,0,10,3,16,6799,371,876,13.3,5.95,2.22,76,181.72000000000003,1.65,1.0305555555555557,01:01
Charlie McAvoy,ID8479325,BOS,D,8759,6,0,3,2,14,14,13,6462,1357,940,13.3,5.47,2.22,76,181.72000000000003,2.25,3.7694444444444444,03:46
TJ Brodie,ID8474673,TOR,D,7260,6,0,1,0,7,6,22,6138,9,1113,13.3,6.6,2.22,76,181.72000000000003,1.33,0.025,00:01
Brett Pesce,ID8477488,CAR,D,5804,5,1,1,0,7,5,14,4792,85,927,11.2,6.95,2.24,75,179.00000000000003,1.45,0.2833333333333333,00:17
Mario Ferraro,ID8479983,SJS,D,7962,6,0,1,0,15,11,19,6559,36,1367,13.100000000000001,5.92,2.18,76,178.68,1.64,0.1,00:06
Kaedan Korczak,ID8481527,VGK,D,4056,4,1,3,1,7,8,4,3666,209,181,9.0,7.99,2.25,75,177.75,1.31,0.8708333333333333,00:52
Jake Walman,ID8478013,DET,D,8617,7,1,2,2,9,2,18,6735,581,1301,15.1,6.31,2.16,75,177.0,1.47,1.3833333333333333,01:23
MacKenzie Weegar,ID8477346,CGY,D,9109,7,1,0,0,20,5,21,7380,427,1302,15.0,5.93,2.14,75,175.5,1.88,1.0166666666666666,01:01
Morgan Rielly,ID8476853,TOR,D,8301,6,1,4,2,13,5,8,7612,483,206,12.8,5.55,2.13,76,173.88,1.92,1.3416666666666666,01:20
Egor Zamula,ID8481178,PHI,D,4048,4,1,2,1,5,1,7,3826,69,153,8.6,7.65,2.15,76,171.4,1.11,0.2875,00:17
Brady Skjei,ID8476869,CAR,D,8538,7,1,5,2,11,3,10,7219,79,1240,14.4,6.07,2.06,75,168.5,1.43,0.18809523809523812,00:11
Ilya Lyubushkin,ID8480950,ANA,D,6183,6,0,0,0,5,13,21,4887,0,1296,12.3,7.16,2.05,76,167.79999999999998,1.21,0.0,00:00
Mikhail Sergachev,ID8479410,TBL,D,9744,7,0,3,2,9,4,18,8365,657,722,14.3,5.28,2.04,75,167.0,2.1,1.5642857142857143,01:33
Matt Roy,ID8478911,LAK,D,7617,6,0,2,1,11,11,15,6215,263,1139,12.2,5.77,2.03,76,166.27999999999997,1.64,0.7305555555555556,00:43
Oliver Ekman-Larsson,ID8475171,FLA,D,8804,6,1,2,2,15,5,10,6182,1726,896,12.0,4.91,2.0,76,164.0,1.3,4.794444444444445,04:47
